# Each key-value pair is on a new line (\n-only, LF separator)
# Key and value are separated by tab (\t)
# Lines starting with # are comments and are ignored completely
# Inline comments are supported after the second tab

# === core ===
Loading...	Загрузка...
Preparing output	Подготовка вывода
Computing anti-image matrices	Вычисление матриц анти-образа
Computing scores	Вычисление оценок
Computing Schmid-Leiman transformation	Вычисление преобразования Шмида-Лаймана
Computing Schmid-Leiman scores	Вычисление оценок Шмида-Лаймана
Checking for estimation issues	Проверка проблем оценивания
Preparing extraction comparison	Подготовка сравнения методов извлечения
Running {method} extraction	Выполняется извлечение методом {method}
Computing Tucker's congruence coefficients	Вычисление коэффициентов конгруэнтности Такера
Eigenvalue	Собственное значение
Note: showing first {limit} of {total} components for clarity.	Примечание: для наглядности показаны первые {limit} из {total} компонент.
Component	Компонент
Factor	Фактор
Component number	Номер компонента
Factor number	Номер фактора
Scree plot	График каменистой осыпи
Actual data	Фактические данные
Kaiser (λ=1)	Критерий Кайзера (λ=1)
Simulated data	Имитационные данные
Resampled data	Данные повторной выборки
Recommended number of components:	Рекомендуемое количество компонент:
Recommended number of factors:	Рекомендуемое количество факторов:
Kaiser criterion (eigenvalue > 1): {count} components	Критерий Кайзера (собственное значение > 1): {count} компонент
Kaiser criterion (eigenvalue > 1): {count} factors	Критерий Кайзера (собственное значение > 1): {count} факторов
Elbow method: {count} components	Метод локтя: {count} компонент
Elbow method: {count} factors	Метод локтя: {count} факторов
Parallel analysis: {count} components	Параллельный анализ: {count} компонент
Parallel analysis: {count} factors	Параллельный анализ: {count} факторов
Loadings:	Нагрузки:
Positive	Положительная
Negative	Отрицательная
Covariance	Ковариация
n.s.	н.з.
Please select at least 3 variables for factor analysis.	Выберите не менее 3 переменных для факторного анализа.
Invalid factor range. Minimum must be at least 1, and maximum must be greater than or equal to minimum.	Неверный диапазон факторов. Минимум должен быть не менее 1, максимум — не менее минимума.
Maximum factors must be less than the number of variables.	Максимальное количество факторов должно быть меньше числа переменных.
Warning: KMO value is below 0.5, indicating that factor analysis may not be appropriate for this data.	Предупреждение: значение KMO ниже 0,5, что указывает на неприемлемость факторного анализа для этих данных.
Warning: Bartlett's test is not significant (p > 0.05), indicating that variables may not be sufficiently correlated for factor analysis.	Предупреждение: критерий Бартлетта незначим (p > 0,05), что указывает на недостаточную корреляцию переменных для факторного анализа.
An error occurred during model selection: {message}	Произошла ошибка при выборе модели: {message}
Number of factors must be between 1 and the number of variables minus 1.	Количество факторов должно быть от 1 до числа переменных минус 1.
Please select at least 2 extraction methods to compare.	Выберите не менее 2 методов извлечения для сравнения.
Comparing extraction methods...	Сравнение методов извлечения...
An error occurred during extraction comparison: {message}	Произошла ошибка при сравнении методов извлечения: {message}
Running factor analysis...	Выполнение факторного анализа...
The correlation matrix is not positive definite (minimum eigenvalue: {minEigen}). Maximum Likelihood estimation cannot proceed. Consider using MinRes or Principal Axis extraction instead, or check for linear dependencies among variables.	Корреляционная матрица не является положительно определённой (минимальное собственное значение: {minEigen}). Оценка методом максимального правдоподобия невозможна. Рассмотрите использование MinRes или факторизации главных осей, или проверьте линейные зависимости между переменными.
Perfect or near-perfect correlations detected between variables: {pairs}. This causes singularity in the correlation matrix. Remove one variable from each pair before proceeding.	Обнаружены идеальные или почти идеальные корреляции между переменными: {pairs}. Это приводит к сингулярности корреляционной матрицы. Удалите одну переменную из каждой пары перед продолжением.
Factor extraction failed: {message}	Извлечение факторов не выполнено: {message}
An unexpected error occurred: {message}	Произошла непредвиденная ошибка: {message}
Variables with SMC > 0.99 detected (potential Heywood cases): {variables}. These variables are almost perfectly predicted by other variables and may cause estimation problems, especially with ML extraction.	Обнаружены переменные с SMC > 0,99 (возможные случаи Хейвуда): {variables}. Эти переменные почти полностью предсказываются другими переменными и могут вызывать проблемы оценки, особенно при методе ML.
Very high correlations (|r| > 0.9) detected: {pairs}. This may indicate multicollinearity.	Обнаружены очень высокие корреляции (|r| > 0,9): {pairs}. Это может свидетельствовать о мультиколлинеарности.
Very small sample size (n = {n}). Factor analysis typically requires at least 50 observations, preferably 100+ for stable results.	Очень малый объём выборки (n = {n}). Факторный анализ обычно требует не менее 50 наблюдений, предпочтительно 100+ для устойчивых результатов.
Low observations-to-variables ratio ({ratio}:1). A ratio of at least 5:1 is recommended for stable factor solutions.	Низкое соотношение наблюдений к переменным ({ratio}:1). Для устойчивых факторных решений рекомендуется соотношение не менее 5:1.
Ultra-Heywood case detected: communality > 1.0 for variables: {variables}. Values: {values}. This indicates a serious estimation problem. The solution may be unreliable. Consider reducing the number of factors or using a different extraction method.	Обнаружен сверхслучай Хейвуда: общность > 1,0 для переменных: {variables}. Значения: {values}. Это указывает на серьёзную проблему оценки. Решение может быть ненадёжным. Рассмотрите уменьшение числа факторов или использование другого метода извлечения.
Heywood case detected: communality ≈ 1.0 for variables: {variables}. This suggests these variables may be over-determined by the factors. Consider reducing the number of factors or examining the variable structure.	Обнаружен случай Хейвуда: общность ≈ 1,0 для переменных: {variables}. Это может означать, что данные переменные переопределены факторами. Рассмотрите уменьшение числа факторов или изучение структуры переменных.
{count} negative eigenvalue(s) detected in the reduced correlation matrix. This may indicate that more factors were extracted than the data support.	В редуцированной корреляционной матрице обнаружено {count} отрицательных собственных значений. Это может указывать на то, что извлечено больше факторов, чем поддерживается данными.
Unknown warning	Неизвестное предупреждение
{label} score data is missing. Cannot insert into dataset.	Данные оценок {label} отсутствуют. Вставка в набор данных невозможна.
The following variables already exist: {vars}. Do you want to overwrite them?	Следующие переменные уже существуют: {vars}. Перезаписать их?
{label} scores computed on {computed} complete cases out of {total} total cases (due to missing data). Remaining cases will have NA scores.	Оценки {label} вычислены по {computed} полным наблюдениям из {total} общих (из-за пропущенных данных). Остальные наблюдения получат значения NA.
{label} scores computed on {computed} complete cases out of {filtered} filtered cases ({total} total). Remaining cases will have NA scores.	Оценки {label} вычислены по {computed} полным наблюдениям из {filtered} отфильтрованных ({total} всего). Остальные наблюдения получат значения NA.
{label} scores inserted successfully: {vars}	Оценки {label} успешно вставлены: {vars}
Variables:	Переменные:
Analysis failed	Анализ не выполнен
Sample size:	Объём выборки:
{n_cases} cases, {n_variables} variables	{n_cases} наблюдений, {n_variables} переменных
Model selection	Выбор модели
Multicollinearity detected	Обнаружена мультиколлинеарность
Variables with MSA < 0.5 should be considered for removal	Переменные с MSA < 0,5 следует рассмотреть для исключения
Blue highlight: eigenvalue > 1 (Kaiser criterion)	Синяя подсветка: собственное значение > 1 (критерий Кайзера)
Complexity: 1.0 = simple structure (each variable loads on one factor); higher values indicate cross-loading	Сложность: 1,0 = простая структура (каждая переменная нагружает один фактор); более высокие значения указывают на перекрёстные нагрузки
VSS: very simple structure criterion (higher = better fit); subscript indicates allowed complexity per variable	VSS: критерий очень простой структуры (выше = лучше соответствие); индекс указывает допустимую сложность на переменную
{n} cases	{n} наблюдений
Diagonal contains measure of sampling adequacy (MSA) for each variable	Диагональ содержит меру адекватности выборки (MSA) для каждой переменной
Showing first 10 cases of {count} computed scores ({method} method)	Показаны первые 10 наблюдений из {count} вычисленных оценок (метод {method})
Excellent fit	Отличное соответствие
Good fit	Хорошее соответствие
Mediocre fit	Посредственная подгонка
Poor fit	Плохая подгонка
Excellent variance coverage	Отличное покрытие дисперсии
Good variance coverage	Хорошее покрытие дисперсии
Adequate variance coverage	Достаточное покрытие дисперсии
Low variance coverage	Низкое покрытие дисперсии
Acceptable fit	Приемлемое соответствие
Cutoff threshold	Порог отсечения
Highlight threshold	Порог выделения
Sort by	Сортировать по
Original order	Исходный порядок
Highest loading	Наибольшая нагрузка
Update table	Обновить таблицу
Bold: |loading| ≥ {highlight}; Blank: |loading| < {cutoff}	Полужирный: |нагрузка| ≥ {highlight}; Пусто: |нагрузка| < {cutoff}
Yellow communality: < 0.4 (variable may not fit well)	Жёлтая общность: < 0,4 (переменная может плохо вписываться в модель)
MSA interpretation (diagonal):	Интерпретация MSA (диагональ):
Meritorious	Похвально
Mediocre/Middling	Посредственно
Miserable	Неприемлемо
Group factors:	Групповые факторы:
g = general factor; F1, F2, ... = orthogonalized group factors; h² = communality; u² = uniqueness; p² = % variance from g; com = complexity	g = общий фактор; F1, F2, ... = ортогонализированные групповые факторы; h² = общность; u² = уникальность; p² = % дисперсии из g; com = сложность
Number of factors:	Количество факторов:
Extraction methods compared:	Сравниваемые методы извлечения:
Overall factor solution similarity:	Общее сходство факторных решений:
Mean congruence across all method pairs:	Среднее сходство по всем парам методов:
(Excellent - solutions are essentially equivalent)	(Отлично — решения практически эквивалентны)
(Good - solutions are fairly similar)	(Хорошо — решения достаточно схожи)
(Poor - solutions differ substantially)	(Плохо — решения существенно различаются)
Minimum congruence (most dissimilar pair):	Минимальное сходство (наиболее различающаяся пара):
Maximum congruence (most similar pair):	Максимальное сходство (наиболее похожая пара):
Extraction method comparison	Сравнение методов извлечения
Bold: best value for that metric (lower RMSEA/BIC/SABIC/SRMR/Complexity, higher CFI/TLI/h² are better)	Жирным: наилучшее значение по данному показателю (ниже — RMSEA/BIC/SABIC/SRMR/сложность; выше — CFI/TLI/h²)
Tucker's congruence coefficient interpretation (Lorenzo-Seva & ten Berge, 2006):	Интерпретация коэффициента конгруэнтности Такера (Lorenzo-Seva & ten Berge, 2006):
Factors can be considered equal	Факторы можно считать эквивалентными
Fair similarity	Умеренное сходство
Different factors	Различные факторы
PCA	АГК
EFA	РФА
Data suitability tests	Проверка пригодности данных
Per-variable measure of sampling adequacy (MSA)	Мера адекватности выборки по переменным (MSA)
Model comparison table	Таблица сравнения моделей
Kaiser-Meyer-Olkin (KMO) measure	Мера Кайзера-Мейера-Олкина (KMO)
Bartlett's test of sphericity	Критерий сферичности Бартлетта
Correlation matrix determinant	Детерминант корреляционной матрицы
Test	Критерий
Detail	Подробность
MSA	MSA
Variance %	% дисперсии
RMSEA	RMSEA
CFI	CFI
TLI	TLI
BIC	BIC
SABIC	SABIC
SRMR	SRMR
Mean h²	Среднее h²
Complexity	Сложность
Hyperplane	Гиперплоскость
VSS₁	VSS₁
VSS₂	VSS₂
Number of components:	Количество компонент:
Model fit indices	Индексы подгонки модели
Component loadings	Нагрузки компонент
Factor loadings	Факторные нагрузки
Component path diagram	Путевая диаграмма компонент
Factor path diagram	Путевая диаграмма факторов
Component correlations	Корреляции компонент
Factor correlations	Корреляции факторов
Anti-Image correlation matrix	Матрица корреляций анти-образа
Anti-Image covariance matrix	Матрица ковариаций анти-образа
Component scores	Оценки компонент
Factor scores	Факторные оценки
Insert scores into dataset	Добавить оценки в набор данных
Principal component analysis	Анализ главных компонент
Exploratory factor analysis	Разведочный факторный анализ
No rotation	Без вращения
Varimax rotation	Вращение варимакс
Oblimin rotation	Вращение облимин
Promax rotation	Вращение промакс
Quartimax rotation	Вращение квартимакс
Equamax rotation	Вращение эквамакс
Varimin rotation	Вращение варимин
Geomin T rotation	Вращение геомин T
Bentler's Invariant T rotation	Инвариантное вращение Бентлера T
Bifactor rotation	Бифакторное вращение
Quartimin rotation	Вращение квартимин
Biquartimin rotation	Вращение биквартимин
Simplimax rotation	Вращение симплимакс
Geomin Q rotation	Вращение геомин Q
Bentler's Invariant Q rotation	Инвариантное вращение Бентлера Q
Cluster rotation	Кластерное вращение
Chi-square test	Критерий хи-квадрат
RMSEA [90% CI]	RMSEA [90% ДИ]
Comparative fit index (CFI)	Сравнительный индекс подгонки (CFI)
Tucker-Lewis index (TLI)	Индекс Такера–Льюиса (TLI)
SRMR (RMS residual)	SRMR (среднеквадратический остаток)
Corrected SRMR	Скорректированный SRMR
Sample-size adjusted BIC (SABIC)	BIC, скорректированный по объёму выборки (SABIC)
Fit (proportion of variance)	Подгонка (доля дисперсии)
Off-diagonal fit	Внедиагональное соответствие
Objective function	Целевая функция
Diagnostics & warnings	Диагностика и предупреждения
SS loadings	Сумма квадратов нагрузок
Proportion var	Доля дисперсии
Cumulative var	Накопленная дисперсия
Communality	Общность
Case	Наблюдение
Omega reliability coefficients	Коэффициенты надёжности омега
Variance decomposition	Декомпозиция дисперсии
Hierarchical factor loadings	Иерархические факторные нагрузки
Hierarchical path diagram	Иерархическая путевая диаграмма
Insert SLT scores into dataset	Вставить оценки ШЛТ в набор данных
Schmid-Leiman	Шмид-Лейман
Strong general factor	Сильный общий фактор
Moderate general factor	Умеренный общий фактор
Weak general factor	Слабый общий фактор
Excellent reliability	Отличная надёжность
Good reliability	Хорошая надёжность
Acceptable reliability	Приемлемая надёжность
Poor reliability	Низкая надёжность
Essentially unidimensional	Фактически одномерная
Moderate multidimensionality	Умеренная многомерность
Substantial multidimensionality	Существенная многомерность
Omega hierarchical (ωh)	Омега иерархическая (ωh)
Omega total (ωt)	Омега общая (ωt)
Explained common variance (ECV)	Объяснённая общая дисперсия (ECV)
Omega subscale F{index} (ωs)	Омега субшкалы F{index} (ωs)
General (g)	Общий (g)
% of total	% от общего
Communality: total variance explained by all factors	Общность: суммарная дисперсия, объяснённая всеми факторами
Uniqueness: variance not explained by factors (1 - h²)	Уникальность: дисперсия, не объяснённая факторами (1 - h²)
Proportion of common variance due to general factor (g² / h²)	Доля общей дисперсии, обусловленной общим фактором (g² / h²)
Complexity: number of factors the variable loads on (1 = simple structure)	Сложность: количество факторов, на которые нагружена переменная (1 = простая структура)
Fit metrics comparison	Сравнение показателей подгонки
Tucker's congruence coefficients	Коэффициенты конгруэнтности Такера
Extraction comparison	Сравнение методов извлечения
Extraction	Метод извлечения

# === regression-view ===
Dependent variable(s)	Зависимая(е) переменная(ые)
Select one or more outcome variables (batch analysis if multiple)	Выберите одну или несколько выходных переменных (пакетный анализ при нескольких)
Predictors	Предикторы
Select independent variables for the model	Выберите независимые переменные для модели
Mediators	Медиаторы
Select variables that transmit the effect of predictors on the outcome	Выберите переменные, передающие эффект предикторов на зависимую переменную
Moderators	Модераторы
Select variables that change the strength of the predictor-outcome relationship	Выберите переменные, изменяющие силу связи между предикторами и зависимой переменной
Select control variables to include in the model	Выберите контрольные переменные для включения в модель
Model setup	Настройка модели
Regression type	Тип регрессии
Linear (continuous outcome)	Линейная (непрерывный исход)
Binomial logistic (binary outcome)	Биномиальная логистическая (дихотомический исход)
Ordinal logistic (ordered categorical)	Порядковая логистическая (упорядоченная категориальная)
Multinomial logistic (unordered categorical)	Мультиномиальная логистическая (неупорядоченная категориальная)
Poisson (count data)	Пуассона (счётные данные)
Negative binomial (overdispersed counts)	Отрицательная биномиальная (избыточно дисперсные счётчики)
Estimation method	Метод оценки
Classic (OLS/MLE)	Классический (OLS/MLE)
Ridge (L2 regularization)	Гребневая (регуляризация L2)
LASSO (L1 regularization)	LASSO (регуляризация L1)
Elastic net (L1 + L2)	Elastic Net (L1 + L2)
Elastic net mixing (α)	Коэффициент смешивания Elastic Net (α)
0 = Ridge, 1 = LASSO, between = mix	0 = гребневая, 1 = LASSO, промежуточные = смешанные
Single regression analysis	Одиночный регрессионный анализ
Lambda selection	Выбор лямбды
Minimum CV error (lambda.min)	Минимальная ошибка КП (lambda.min)
1 SE rule (lambda.1se)	Правило 1 SE (lambda.1se)
Manual	Вручную
Lambda value	Значение лямбды
Additional statistics	Дополнительная статистика
Zero-order correlations	Нулевые корреляции
Part and partial correlations	Частные и частичные корреляции
ANOVA table	Таблица ANOVA
Odds ratios with confidence intervals	Шансы с доверительными интервалами
Conditional indirect effects (moderated mediation)	Условные косвенные эффекты (модерируемая медиация)
Diagnostics	Диагностика
Collinearity diagnostics (VIF/Tolerance)	Диагностика мультиколлинеарности (VIF/толерантность)
Residual diagnostics (normality, autocorrelation, heteroscedasticity)	Диагностика остатков (нормальность, автокорреляция, гетероскедастичность)
Influence statistics (Cook's D, leverage, outliers)	Статистики влияния (расстояние Кука, левередж, выбросы)
Goodness of fit (Hosmer-Lemeshow, deviance)	Качество подгонки (Хосмер-Лемешоу, девианс)
Run regression	Запустить регрессию
Model comparison	Сравнение моделей
Compare all possible predictor combinations using information criteria. Covariates are fixed in all models.	Сравнить все возможные комбинации предикторов по информационным критериям. Ковариаты фиксированы во всех моделях.
Maximum models to display (0 or empty for all)	Максимальное количество отображаемых моделей (0 или пусто — все)
Minimum predictors	Минимальное число предикторов
Maximum predictors	Максимальное число предикторов
Model-averaged coefficients	Осреднённые по моделям коэффициенты
Extended model statistics (BIC weights, log-likelihood)	Расширенная статистика модели (веса BIC, логарифм правдоподобия)
Compare models	Сравнить модели
Failed to run regression analysis	Не удалось выполнить регрессионный анализ
Failed to compare models	Не удалось сравнить модели
Failed to run regularized regression	Не удалось выполнить регуляризованную регрессию
Calculating collinearity diagnostics	Вычисление диагностики мультиколлинеарности
Running residual diagnostics	Выполняется диагностика остатков
Calculating influence statistics	Вычисление статистик влияния
Building ANOVA table	Построение таблицы ANOVA
Running goodness of fit tests	Выполняются проверка качества подгонки
Running mediation analysis	Выполняется анализ медиации
Running simple slopes analysis	Выполняется анализ простых наклонов
Bootstrapping indirect effects	Бутстрэп косвенных эффектов
Bootstrap iteration {current} of {total}	Бутстрэп-итерация {current} из {total}
Bootstrap complete	Бутстрэп завершён
Fitting regression model	Подгонка регрессионной модели
Extracting coefficients	Извлечение коэффициентов
Running diagnostics	Выполняется диагностика
Finalizing results	Финализация результатов
Generating model combinations	Генерация комбинаций моделей
Fitting {count} models (filtered from {total} combinations)	Подгонка {count} моделей (отобранных из {total} комбинаций)
Fitting model {current} of {total}	Подгонка модели {current} из {total}
Calculating model weights	Вычисление весов моделей
Calculating model-averaged coefficients	Вычисление усреднённых по моделям коэффициентов
Calculating variable importance	Вычисление важности переменных
Preparing results	Подготовка результатов
Preparing data	Подготовка данных
Fitting regularized model	Подгонка регуляризованной модели
Compiling model statistics	Вычисление статистик модели
Extracting regularization path	Извлечение пути регуляризации
Finalizing	Завершение
Please select at least one dependent variable.	Пожалуйста, выберите хотя бы одну зависимую переменную.
Please select at least one predictor or covariate.	Выберите хотя бы один предиктор или ковариату.
Mediation analysis requires at least one predictor.	Для анализа медиации необходим хотя бы один предиктор.
Moderation analysis requires at least one predictor.	Для анализа модерации необходим хотя бы один предиктор.
Variables cannot be both dependent and independent: 	Переменные не могут быть одновременно зависимыми и независимыми: 
For linear regression, dependent variables must be numeric: 	Для линейной регрессии зависимые переменные должны быть числовыми: 
Insufficient observations ({n}) for the number of model parameters ({p}). Reduce the number of variables or add more data.	Недостаточно наблюдений ({n}) для числа параметров модели ({p}). Уменьшите количество переменных или добавьте больше данных.
Running regression analysis...	Выполняется регрессионный анализ...
An error occurred while running the regression analysis: 	Произошла ошибка при выполнении регрессионного анализа: 
Please select at least one predictor to compare models.	Выберите хотя бы один предиктор для сравнения моделей.
Model comparison with more than 15 predictors would generate too many models (2^15 = 32,768). Please reduce the number of predictors.	Сравнение моделей с более чем 15 предикторами сгенерирует слишком много моделей (2^15 = 32 768). Пожалуйста, уменьшите количество предикторов.
Selected dependent variables are not compatible with the chosen regression type: 	Выбранные зависимые переменные несовместимы с выбранным типом регрессии: 
This will compare {count} models. This may take a while. Continue?	Будет выполнено сравнение {count} моделей. Это может занять некоторое время. Продолжить?
Comparing models...	Сравнение моделей...
Comparing models for {variable}...	Сравнение моделей для {variable}...
Comparison complete	Сравнение завершено
An error occurred while comparing models: 	Произошла ошибка при сравнении моделей: 
Intercept only	Только константа
Apply this model's predictors to selection	Применить предикторы этой модели к выделению
Predictors updated	Предикторы обновлены
{method} {type} regression	{method} {type} регрессия
Outcome:	Исход:
Regression type:	Тип регрессии:
Dependent variable:	Зависимая переменная:
Predictors (dredged):	Предикторы (перебираемые):
Covariates (fixed):	Ковариаты (фиксированные):
N:	N:
Models compared:	Моделей сравнивается:
{pct}% confidence set:	{pct}% доверительное множество:
{count} models	{count} модел
Model selection uncertainty (entropy):	Неопределённость выбора модели (энтропия):
Effective number of models:	Эффективное число моделей:
Predictors:	Предикторы:
Predictors in model:	Предикторы в модели:
Non-zero coefficients:	Ненулевые коэффициенты:
Reference outcome:	Референтный исход:
vs.	vs.
Reference categories:	Референтные категории:
Use	Использовать
Very high importance	Очень высокая важность
High importance	Высокая важность
Moderate importance	Умеренная важность
Low importance	Низкая важность
Very low importance	Очень низкая важность
Significant cut-point	Значимая точка разреза
Cut-point not significantly different from 0	Точка разреза незначимо отличается от 0
Baseline log-odds	Базовые лог-шансы
Significant: increases relative risk by {factor}x	Значимо: увеличивает относительный риск в {factor} раз
Significant: decreases relative risk by {factor}x	Значимо: уменьшает относительный риск в {factor} раз
Significant positive effect	Значимый положительный эффект
Significant negative effect	Значимый отрицательный эффект
Potential influential observations	Потенциально влиятельные наблюдения
No highly influential observations	Высоко влиятельных наблюдений не обнаружено
Observations with high leverage	Наблюдения с высоким значением рычага
No high leverage points	Точек с высоким рычагом не обнаружено
Potential outliers detected	Обнаружены потенциальные выбросы
No extreme outliers	Экстремальных выбросов нет
Model may be misspecified (consider non-linear terms)	Модель может быть неверно специфицирована (рассмотрите нелинейные члены)
No evidence of misspecification	Признаков неверной спецификации нет
Underdispersion detected	Обнаружено занижение дисперсии
Overdispersion detected	Обнаружено завышение дисперсии
Dispersion within acceptable range	Дисперсия в допустимых пределах
Negligible variance explained	Незначимая объяснённая дисперсия
Small effect size	Малый размер эффекта
Medium effect size	Средний размер эффекта
Large effect size	Большой размер эффекта
Weak fit	Слабое соответствие
Minimal shrinkage	Минимальная регуляризация
Acceptable shrinkage	Приемлемая регуляризация
Notable shrinkage (possible overfitting)	Значительная регуляризация (возможное переобучение)
Model is significant	Модель значима
Model is not significant	Модель незначима
Model intercept	Константа модели
No collinearity concern	Мультиколлинеарность отсутствует
Moderate collinearity	Умеренная мультиколлинеарность
High collinearity	Высокая мультиколлинеарность
Residuals appear normal	Остатки распределены нормально
Residuals may not be normal	Остатки могут не быть нормальными
No autocorrelation concern	Автокорреляция отсутствует
Positive autocorrelation possible	Возможна положительная автокорреляция
Negative autocorrelation possible	Возможна отрицательная автокорреляция
Homoscedasticity assumed	Гомоскедастичность подтверждена
Heteroscedasticity detected	Обнаружена гетероскедастичность
Low influence	Низкое влияние
Moderate influence	Умеренное влияние
High influence	Высокое влияние
Within normal range	В пределах нормы
High leverage point	Точка с высоким рычагом
Select variables using the "Variables" button	Выберите переменные с помощью кнопки «Переменные»
Linear regression	Линейная регрессия
Binary logistic regression	Бинарная логистическая регрессия
Ordinal logistic regression	Порядковая логистическая регрессия
Multinomial logistic regression	Мультиномиальная логистическая регрессия
Poisson regression	Регрессия Пуассона
Negative binomial regression	Регрессия отрицательного биномиального распределения
Model fit	Соответствие модели
Coefficients by outcome level	Коэффициенты по уровням исхода
Coefficients	Коэффициенты
Cut-points between adjacent ordinal categories on the latent variable scale	Точки разреза между смежными порядковыми категориями на шкале латентной переменной
Thresholds (Intercepts)	Пороговые значения (точки пересечения)
ANOVA	ANOVA
Correlations	Корреляции
Collinearity diagnostics	Диагностика мультиколлинеарности
Residual diagnostics	Диагностика остатков
Influence statistics	Статистики влияния
Goodness of fit	Качество подгонки
Mediation analysis	Анализ медиации
Moderation analysis	Анализ модерации
Conditional indirect effects	Условные косвенные эффекты
Regression: {variable}	Регрессия: {variable}
Binary logistic	Бинарная логистическая
Ordinal logistic	Порядковая логистическая
Multinomial logistic	Мультиномиальная логистическая
Poisson	Пуассон
Negative binomial	Отрицательное биномиальное
Ridge	Гребневая
LASSO	LASSO
Elastic Net	Elastic Net
Regularized	Регуляризованная
Regularization parameters	Параметры регуляризации
Cross-validation summary	Сводка по кросс-валидации
{method} Regression: {variable}	{method} регрессия: {variable}
Model rankings	Рейтинг моделей
Variable importance	Важность переменных
Model comparison: {variable}	Сравнение моделей: {variable}
Minimum CV error	Минимальная ошибка кросс-валидации
1 SE rule (more regularization)	Правило 1 SE (больше регуляризации)
User-specified	Задан пользователем
λ (selected)	λ (выбранный)
λ.min (CV optimal)	λ.min (оптимальный по КВ)
Minimizes cross-validation error	Минимизирует ошибку кросс-валидации
λ.1se	λ.1se
Largest λ within 1 SE of minimum	Наибольший λ в пределах 1 СО от минимума
CV error (at selected λ)	Ошибка КВ (при выбранном λ)
Mean ± SE from 10-fold CV	Среднее ± СО по 10-кратной КВ
Lambda values tested	Проверено значений лямбда
Lambda range	Диапазон лямбда
Best CV error	Наилучшая ошибка КВ
At λ = {lambda}	При λ = {lambda}
Degrees of freedom (at selected λ)	Степени свободы (при выбранном λ)
Effective number of parameters	Эффективное число параметров
Note	Примечание
Rank	Ранг
McFadden R²	R² МакФаддена
Adj R²	Скорр. R²
Nagelkerke's R²	R² Нагелькерке
AIC	AIC
AICc	AICc
ΔAIC	ΔAIC
Weight	Вес
Cum. Weight	Накопл. вес
Ev. Ratio	Коэф. свидетельства
Conf. Set	Довер. набор
Log-lik	Лог-правд.
ΔBIC	ΔBIC
BIC wt	Вес BIC
(Intercept)	(Константа)
Term	Член
Full avg	Полн. среднее
Cond avg	Усл. среднее
Importance	Значимость
N models	N моделей
N+	N+
N−	N−
R²	R²
Adjusted R²	Скорр. R²
F-statistic	F-статистика
df (regression, residual)	ст.св. (регрессия, остаток)
p-value (F)	p-значение (F)
Root MSE	Корень СКО
McFadden's R²	R² Макфаддена
Cox & Snell R²	R² Кокса–Снелла
Null deviance	Нулевое отклонение
Residual deviance	Остаточное отклонение
χ² (LR test)	χ² (критерий LR)
p-value (χ²)	p-значение (χ²)
Log-likelihood	Логарифм правдоподобия
Predictor	Предиктор
B	B
RRR	RRR
RRR {level}% CI	RRR {level}% ДИ
Threshold	Порог
Estimate	Оценка
VIF	VIF
Tolerance	Толерантность
Shapiro-Wilk (normality)	Шапиро–Уилк (нормальность)
Durbin-Watson (autocorrelation)	Дарбин–Уотсон (автокорреляция)
Breusch-Pagan (heteroscedasticity)	Бройш–Паган (гетероскедастичность)
Statistic	Статистика
Cook's D (max)	D Кука (макс.)
Cook's D > 1 (n)	D Кука > 1 (n)
Leverage (max)	Точка рычага (макс.)
High leverage points (n)	Точки с высоким рычагом (n)
Standardized residuals |>3| (n)	Стандартизованные остатки |>3| (n)
RESET F-statistic	F-статистика RESET
RESET df	ст.св. RESET
RESET p-value	p-значение RESET
Hosmer-Lemeshow χ²	χ² Хосмера–Лемешова
Hosmer-Lemeshow df	ст.св. Хосмера–Лемешова
Hosmer-Lemeshow p-value	p-значение Хосмера–Лемешова
Accuracy	Точность
Sensitivity (Recall)	Чувствительность (полнота)
Specificity	Специфичность
Positive predictive value	Положительная прогностическая ценность
Negative predictive value	Отрицательная прогностическая ценность
Confusion matrix	Матрица ошибок
Classification accuracy	Точность классификации
Likelihood ratio χ²	χ² отношения правдоподобия
LR test df	ст.св. критерия LR
LR test p-value	p-значение критерия LR
Deviance	Отклонение
Deviance df	ст.св. отклонения
Deviance p-value	p-значение отклонения
Pearson χ²	χ² Пирсона
Pearson χ² p-value	p-значение χ² Пирсона
Dispersion parameter	Параметр дисперсии
Dispersion interpretation	Интерпретация дисперсии
Source	Источник
SS	SS
MS	MS
Zero-order (r)	Нулевого порядка (r)
Part (sr)	Частная (sr)
Negligible	Пренебрежимый
Weak positive	Слабая положительная
Weak negative	Слабая отрицательная
Moderate positive	Умеренная положительная
Moderate negative	Умеренная отрицательная
